2026-03-11 09:13:19,305 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:13:19,414 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:13:19,439 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:13:19,634 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-11 09:13:19,730 | INFO | automation | [ASSERT PASS] Cart count validation
2026-03-11 09:13:27,399 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:13:27,511 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:13:27,539 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:13:27,692 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-11 09:13:27,847 | INFO | automation | [ASSERT PASS] Cart count validation
2026-03-11 09:13:35,429 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:13:35,523 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:13:35,547 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:13:35,690 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-11 09:13:35,801 | INFO | automation | [ASSERT PASS] Cart count validation
2026-03-11 09:13:43,723 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:13:43,832 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:13:43,858 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:13:44,167 | ERROR | error_handler | Test Failed
2026-03-11 09:13:44,175 | ERROR | error_handler | Exception Type: AssertionError
2026-03-11 09:13:44,175 | ERROR | error_handler | Exception Message: Intentional assertion failure
2026-03-11 09:13:44,175 | ERROR | error_handler | [ASSERTION_ERROR] Business logic failed
2026-03-11 09:13:44,342 | ERROR | automation | Screenshot saved: reports\screenshots\tests.test_assertion_failure_test_assertion_failure_20260311_091344.png
2026-03-11 09:13:51,976 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:13:52,074 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:13:52,100 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:13:52,251 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-11 09:13:52,363 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-11 09:13:52,481 | INFO | automation | Click element: ('id', 'checkout')
2026-03-11 09:13:52,630 | INFO | automation | Input text into ('id', 'first-name')
2026-03-11 09:13:52,730 | INFO | automation | Input text into ('id', 'last-name')
2026-03-11 09:13:52,824 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-11 09:13:52,851 | INFO | automation | Click element: ('id', 'continue')
2026-03-11 09:14:03,172 | INFO | automation | Click element: ('id', 'finish')
2026-03-11 09:14:03,301 | INFO | automation | [ASSERT PASS] Checkout validation
2026-03-11 09:14:10,438 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:14:10,554 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:14:10,578 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:14:10,743 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-11 09:14:10,874 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-11 09:14:10,987 | INFO | automation | Click element: ('id', 'checkout')
2026-03-11 09:14:11,120 | INFO | automation | Input text into ('id', 'first-name')
2026-03-11 09:14:11,207 | INFO | automation | Input text into ('id', 'last-name')
2026-03-11 09:14:11,296 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-11 09:14:11,320 | INFO | automation | Click element: ('id', 'continue')
2026-03-11 09:14:11,419 | INFO | automation | [ASSERT PASS] Checkout validation
2026-03-11 09:14:19,101 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:14:19,194 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:14:19,216 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:14:19,403 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-11 09:14:19,518 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-11 09:14:19,623 | INFO | automation | Click element: ('id', 'checkout')
2026-03-11 09:14:19,816 | INFO | automation | Input text into ('id', 'first-name')
2026-03-11 09:14:19,884 | INFO | automation | Input text into ('id', 'last-name')
2026-03-11 09:14:19,982 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-11 09:14:20,004 | INFO | automation | Click element: ('id', 'continue')
2026-03-11 09:14:20,109 | INFO | automation | [ASSERT PASS] Checkout validation
2026-03-11 09:14:27,187 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:14:27,342 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:14:27,365 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:14:27,595 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-11 09:14:27,743 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-11 09:14:27,861 | INFO | automation | Click element: ('id', 'checkout')
2026-03-11 09:14:28,014 | INFO | automation | Input text into ('id', 'first-name')
2026-03-11 09:14:28,104 | INFO | automation | Input text into ('id', 'last-name')
2026-03-11 09:14:28,179 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-11 09:14:28,201 | INFO | automation | Click element: ('id', 'continue')
2026-03-11 09:14:28,305 | INFO | automation | [ASSERT PASS] Checkout validation
2026-03-11 09:14:35,385 | ERROR | error_handler | Test Failed
2026-03-11 09:14:35,385 | ERROR | error_handler | Exception Type: NoSuchElementException
2026-03-11 09:14:35,385 | ERROR | error_handler | Exception Message: Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="element_not_exist"]"}
2026-03-11 09:14:35,385 | ERROR | error_handler | [LOCATOR_ERROR] Element not found
2026-03-11 09:14:35,541 | ERROR | automation | Screenshot saved: reports\screenshots\tests.test_element_failure_test_element_failure_20260311_091435.png
2026-03-11 09:14:43,346 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:14:43,442 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:14:43,468 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:14:43,607 | INFO | automation | [ASSERT PASS] Inventory count validation
2026-03-11 09:14:51,383 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:14:51,576 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:14:51,622 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:14:51,834 | INFO | automation | [ASSERT PASS] Inventory count validation
2026-03-11 09:14:59,703 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:14:59,804 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:14:59,828 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:14:59,960 | INFO | automation | [ASSERT PASS] Inventory count validation
2026-03-11 09:15:07,837 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:15:07,947 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:15:07,973 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:15:08,108 | INFO | automation | [ASSERT PASS] Login result validation
2026-03-11 09:15:15,533 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:15:15,681 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:15:15,713 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:15:26,005 | INFO | automation | [ASSERT PASS] Login result validation
2026-03-11 09:15:33,214 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:15:33,344 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:15:33,368 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:15:43,627 | INFO | automation | [ASSERT PASS] Login result validation
2026-03-11 09:15:51,285 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:15:51,389 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:15:51,413 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:16:01,697 | INFO | automation | [ASSERT PASS] Login result validation
2026-03-11 09:16:08,749 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:16:08,825 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:16:08,854 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:16:19,128 | INFO | automation | [ASSERT PASS] Login result validation
